i,hs2,v
32,40,164878.7454476018
32,41,450186.989739984
32,42,15957.33298169682
32,43,11267.54791296925
32,44,294574.2826005021
32,45,155.658999766456
32,46,5.605999993160367
32,47,130004.1206661351
32,48,197514.6408249913
32,49,23120.72406519658
32,50,.0820000022649765
32,51,121833.5978524864
32,52,161988.2397806272
32,53,70.85499875340611
32,54,7068.276877639932
32,55,2702.508064573514
32,56,36283.62831232126
32,57,2381.189957439783
32,58,3626.724887704011
32,59,3353.071009108797
32,60,658.1839955216274
32,61,21005.59626991092
32,62,13289.52691388899
32,63,5030.401978743263
32,64,9153.523981188657
32,65,1082.266011314001
32,66,81.58900100784376
32,67,131.2270006090403
32,68,55268.34832462063
32,69,25997.00897224527
32,70,69748.32157751557
32,71,3553628.378474861
32,72,440052.2583430809
32,73,541559.0247520226
32,74,11404.12400052673
32,75,154.0900000520051
32,76,1179920.384093428
32,78,13110.06975722313
32,79,1061.575025625527
32,80,3.472999980673194
32,81,1401.989977950114
32,82,17090.51487247285
32,83,23874.3630430036
32,84,1117059.680634491
32,85,147634.1457246805
32,86,6704.079031340778
32,87,8217590.820458301
32,88,10752.6739886438
32,89,1159.657996851951
32,90,92004.06726853561
32,91,764.5389944883063
32,92,1961.58901437826
32,93,7839.372942045331
32,94,43903.97420432302
32,95,9139.288982196944
32,96,7711.802007616265
32,97,7476.164082341711
36,1,1059894.645715795
36,2,14129225.83302685
36,3,874046.2959609395
36,4,2292322.607415288
36,5,372319.2025621309
36,6,15761.4780780127
36,7,2678888.625300867
36,8,2086437.795616393
36,9,39409.53595636727
36,10,8296189.673635583
36,11,839477.4458779179
36,12,3866917.030439808
36,13,39340.35886225023
36,14,275.0299981418066
36,15,1235305.857548339
36,16,216200.1072492599
36,17,1779847.261615626
36,18,282198.7125448724
36,19,693199.4151770276
36,20,211003.9893013894
36,21,1479941.94283324
36,22,2374909.885152633
36,23,658484.5600682944
36,24,10034.16793239117
36,25,4225436.93514821
36,26,104810589.7025718
36,27,116578245.9104942
36,28,8005388.31723923
36,29,249903.8913269789
36,30,3148131.887047456
36,31,321792.0408491615
36,32,671607.4697824037
36,33,832781.3042781986
36,34,269469.0857487923
36,35,298516.5422314882
36,36,101273.6472214262
36,37,10707.61319776054
36,38,566237.3041742689
36,39,804916.5935683886
36,40,213065.725975762
36,41,479804.3403091677
36,42,81449.35127967445
36,43,3538.533018130693
36,44,1375825.472944668
36,45,1774.374993350473
36,46,505.1619991123443
36,47,186717.0927811083
36,48,714994.0139828071
36,49,209469.3566599329
36,50,200.477998027578
36,51,1838537.943067601
36,52,2296331.068601435
36,53,1009.319003300741
36,54,22034.3240500855
36,55,11858.01199819287
36,56,65857.25774447958
36,57,23728.62247026316
36,58,6316.723025510903
36,59,41741.57798005512
36,60,14984.28411603859
36,61,107718.8214632277
36,62,121821.2411398821
36,63,143968.5751922197
36,64,102127.4688449848
36,65,8891.131046812632
36,66,730.3500082275132
36,67,2756.518976736115
36,68,97277.95130301616
36,69,43392.16672544414
36,70,96052.12308049644
36,71,37282250.41070276
36,72,2039872.627646916
36,73,705692.2519698367
36,74,4364198.633017967
36,75,2151723.680340564
36,76,4718894.613868468
36,78,854680.6397975669
36,79,1230630.765155131
36,80,11218.21895666793
36,81,133158.4937848113
36,82,131277.5907344599
36,83,122827.8423267112
36,84,4436706.415860166
36,85,2893273.376378282
36,86,69525.31901218253
36,87,1270722.258944066
36,88,1224026.19877807
36,89,372452.1504335497
36,90,3756595.981323589
36,91,93943.12762227375
36,92,10431.59202491213
36,93,173522.1884000904
36,94,235398.9054293134
36,95,462380.8199692484
36,96,36989.69987873174
36,97,101611.2926718071
40,1,157480.0679878963
40,2,1541199.418564472
40,3,34167.22811947856
40,4,2001799.167497553
40,5,96311.21984784701
40,6,43519.92311731772
40,7,201612.6646981355
40,8,248045.2299551266
40,9,200820.8830547576
40,10,685558.9692980667
40,11,385365.52672509
40,12,390540.9051582173
40,13,19116.45805992279
40,14,4757.056032460183
40,15,331787.8553347886
40,16,760986.8137679106
40,17,558334.9695761533
40,18,1002960.316892171
40,19,1684035.467865711
40,20,1170581.427248789
40,21,1269596.837788949
40,22,3601915.493687882
40,23,1278776.989229303
40,24,6071.599930926575
40,25,572442.1110068297
40,26,83845.07616755797
40,27,6506761.891970747
40,28,1074899.218846247
40,29,2441891.706068151
40,30,18480520.33100841
40,31,410313.8770164928
40,32,815305.0889358261
40,33,637790.2619801273
40,34,588226.0650420917
40,35,524385.4122744879
40,36,69160.07996857865
40,37,25834.45799393265
40,38,2143308.073770741
40,39,8943091.276621921
40,40,794798.8485927922
40,41,202390.9277095651
40,42,135314.0684880206
40,43,3615.75304751331
40,44,5138437.567593476
40,45,5403.166998032015
40,46,3514.906033474719
40,47,693405.7117652063
40,48,5872912.250695389
40,49,354288.5390358806
40,50,18630.72060573299
40,51,26499.10593075026
40,52,382186.204456033
40,53,6461.438894820632
40,54,100795.401740914
40,55,1134553.391281921
40,56,204664.6185510608
40,57,97555.10933925153
40,58,102875.3572947149
40,59,214335.5318961327
40,60,118953.146338784
40,61,574996.4698726098
40,62,601762.6176051821
40,63,245475.2275805896
40,64,535943.3790507151
40,65,64264.34932405897
40,66,28124.16909615998
40,67,22344.70993623603
40,68,960229.8536952023
40,69,396582.5988879259
40,70,863471.5995550794
40,71,3181256.415541409
40,72,8310216.5904472
40,73,6247806.503721836
40,74,2365816.230815761
40,75,564532.2953791643
40,76,4295637.564732827
40,78,74792.40767522191
40,79,116914.7134273676
40,80,40185.58320750191
40,81,711967.5496292491
40,82,1006954.894553238
40,83,2677338.055489024
40,84,32843847.40949453
40,85,18467651.49616473
40,86,1650612.55547318
40,87,19020733.93780337
40,88,1658828.425007851
40,89,47615.23919684161
40,90,5503909.845230836
40,91,145706.5065591856
40,92,75182.31418498186
40,93,440609.8063641288
40,94,2068761.81415351
40,95,963492.1421915788
40,96,250175.6892267996
40,97,470313.3100143035
44,1,47.56500060658436
44,2,205.5319971293211
44,3,54453.33202657662
44,4,3.193999987095594
44,5,1297.173035591841
44,6,297.2689867205918
44,7,20.04099958948791
44,8,20.69199956580997
44,9,1.482999968342483
44,10,.7899999916553497
44,11,8.836999805644155
44,12,3619.15995504614
